station_id,station,lat,long
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36920617098944,-71.11710637807846
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.369239074859216,-71.11687034368515
98,Warren St at Chelsea St,42.371848,-71.060292
99,Wilson Square,42.38567578752914,-71.11412136298895
100,Davis Square,42.396969,-71.123024
101,Ball Sq,42.39843120515256,-71.10781000366387
101,Ball Sq,42.39920335720869,-71.11102235516228
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772
103,JFK Crossing at Harvard St. / Thorndike St.,42.346551241753566,-71.1283321143128
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107
105,Lower Cambridgeport at Magazine St / Riverside Rd,42.357218503176526,-71.1138716340065
106,Dudley Town Common - Mt Pleasant Ave at Blue Hill Ave,42.325333,-71.075354
107,Ames St at Main St,42.3625,-71.08822
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865
109,West End Park,42.36590788445084,-71.06446668505669
110,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025
111,Packard Ave at Powderhouse Blvd,42.40449,-71.123413
112,Clarendon Hill at Broadway,42.406302,-71.132446
113,Andrew T Stop - Dorchester Ave at Dexter St,42.33073332585453,-71.05699850837482
113,Andrew T Stop - Dorchester Ave at Dexter St,42.330473650415165,-71.05701684951782
114,Teele Square,42.40087950159558,-71.12590793383788
114,Teele Square,42.40231703379005,-71.12671129423688
115,Porter Square Station,42.387995,-71.119084
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412
117,Binney St / Sixth St,42.36608797388682,-71.08633603909765
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516
119,South Boston Library - 646 E Broadway,42.335741,-71.03877
120,Beacon St at Charles St,42.356052,-71.069849
121,W Broadway at Dorchester St,42.33595897943309,-71.04622899561036
122,Burlington Ave at Brookline Ave,42.345733,-71.100694
124,Curtis Hall - South St at Centre St,42.309054,-71.11543
125,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114
126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634
128,E Cottage St at Columbia Rd,42.320561,-71.06198
129,Hayes Square - Vine St at Moulton St,42.377022,-71.056605
130,Uphams Corner,42.31727474327453,-71.06537003967787
131,Jackson Square T Stop,42.32293117195949,-71.10014140605927
133,Green Street T Stop - Green St at Amory St,42.310579,-71.107341
135,ID Building East,42.344827,-71.028664
136,ID Building West,42.344796,-71.031614
137,Magoun Square at Trum Field,42.39778339961249,-71.10594004465383
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498
139,Dana Park,42.36178043960605,-71.10809952020645
140,Danehy Park,42.388966,-71.132788
141,Kendall Street,42.36356015842989,-71.08216792345047
142,Alewife Station at Russell Field,42.396105,-71.139459
143,EF - North Point Park,42.369885,-71.069957
144,Rogers St & Land Blvd,42.366446738529454,-71.07654601335526
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042
